# Target: WASP-39b
# Instrument: NIRISS/SOSS
# Pipeline: transitspectroscopy
# Author: Espinoza
wave,wave_error,dppm,dppm_err,order
0.78041, 0.00025, 21223.00, 483.10, 2
0.78081, 0.00020, 20478.90, 375.70, 2
0.78131, 0.00025, 20822.10, 868.40, 2
0.78172, 0.00021, 20178.10, 446.30, 2
0.78222, 0.00025, 20423.50, 470.00, 2
0.78272, 0.00025, 21044.60, 386.60, 2
0.78312, 0.00020, 20886.70, 519.10, 2
0.78362, 0.00025, 21130.00, 429.50, 2
0.78402, 0.00020, 21050.40, 275.60, 2
0.78452, 0.00025, 20856.80, 422.60, 2
0.78492, 0.00020, 21271.10, 468.70, 2
0.78542, 0.00025, 20715.90, 472.60, 2
0.78582, 0.00020, 21407.70, 420.00, 2
0.78632, 0.00025, 21581.20, 376.90, 2
0.78682, 0.00025, 19949.20, 467.00, 2
0.78722, 0.00020, 20848.50, 350.10, 2
0.78772, 0.00025, 21368.50, 1020.90, 2
0.78812, 0.00020, 19929.30, 463.40, 2
0.78862, 0.00025, 20825.00, 500.30, 2
0.78902, 0.00020, 21091.00, 480.80, 2
0.78952, 0.00025, 20925.40, 535.00, 2
0.79002, 0.00025, 21031.40, 485.80, 2
0.79042, 0.00020, 20808.40, 514.00, 2
0.79092, 0.00025, 20292.30, 496.80, 2
0.79132, 0.00020, 20938.20, 514.50, 2
0.79182, 0.00025, 21103.50, 501.20, 2
0.79222, 0.00020, 20743.60, 336.30, 2
0.79272, 0.00025, 21128.60, 354.00, 2
0.79322, 0.00025, 21080.90, 369.00, 2
0.79362, 0.00020, 20569.60, 494.90, 2
0.79412, 0.00025, 20951.40, 365.50, 2
0.79452, 0.00020, 20803.30, 489.70, 2
0.79502, 0.00025, 21480.60, 444.20, 2
0.79542, 0.00020, 20475.80, 426.80, 2
0.79592, 0.00025, 21378.50, 403.60, 2
0.79642, 0.00025, 21745.70, 569.30, 2
0.79682, 0.00020, 20775.90, 501.70, 2
0.79732, 0.00025, 20834.60, 486.70, 2
0.79772, 0.00020, 20577.80, 563.60, 2
0.79822, 0.00025, 21563.00, 358.60, 2
0.79872, 0.00025, 21504.80, 451.80, 2
0.79912, 0.00020, 20754.20, 338.00, 2
0.79962, 0.00025, 20808.00, 580.30, 2
0.80002, 0.00020, 21004.70, 511.50, 2
0.80052, 0.00025, 20767.70, 566.40, 2
0.80092, 0.00020, 20927.00, 459.40, 2
0.80142, 0.00025, 21156.00, 547.60, 2
0.80192, 0.00025, 21275.20, 354.80, 2
0.80232, 0.00020, 21142.10, 467.10, 2
0.80282, 0.00025, 21684.60, 525.80, 2
0.80322, 0.00020, 21355.90, 620.50, 2
0.80372, 0.00025, 20853.00, 376.00, 2
0.80422, 0.00025, 21125.10, 387.10, 2
0.80512, 0.00045, 20869.80, 515.10, 2
0.80552, 0.00020, 20387.00, 469.20, 2
0.80602, 0.00025, 20938.60, 396.90, 2
0.80652, 0.00025, 20996.20, 586.20, 2
0.80692, 0.00020, 21780.90, 516.30, 2
0.80742, 0.00025, 21707.40, 532.80, 2
0.80782, 0.00020, 20894.80, 442.80, 2
0.80832, 0.00025, 21007.60, 446.20, 2
0.80882, 0.00025, 21359.40, 571.50, 2
0.80922, 0.00020, 21265.90, 477.30, 2
0.80972, 0.00025, 21577.70, 529.50, 2
0.81012, 0.00020, 21423.30, 406.20, 2
0.81062, 0.00025, 20564.50, 384.50, 2
0.81112, 0.00025, 21582.50, 499.70, 2
0.81152, 0.00020, 20777.90, 457.60, 2
0.81202, 0.00025, 20864.20, 452.10, 2
0.81242, 0.00020, 21094.60, 522.50, 2
0.81292, 0.00025, 20587.90, 515.60, 2
0.81342, 0.00025, 21120.00, 535.50, 2
0.81382, 0.00020, 21741.30, 397.80, 2
0.81432, 0.00025, 20881.70, 452.60, 2
0.81482, 0.00025, 21035.80, 519.10, 2
0.81522, 0.00020, 21100.00, 528.00, 2
0.81572, 0.00025, 20878.00, 552.50, 2
0.81612, 0.00020, 20810.80, 464.50, 2
0.81662, 0.00025, 21034.40, 457.00, 2
0.81712, 0.00025, 21318.70, 442.80, 2
0.81752, 0.00020, 21205.60, 413.60, 2
0.81802, 0.00025, 21532.10, 574.80, 2
0.81842, 0.00020, 21095.10, 435.70, 2
0.81893, 0.00026, 20556.00, 481.30, 2
0.81943, 0.00025, 20944.00, 446.80, 2
0.81983, 0.00020, 20975.00, 417.50, 2
0.82033, 0.00025, 20461.50, 468.80, 2
0.82083, 0.00025, 20704.10, 514.30, 2
0.82123, 0.00020, 21222.30, 491.30, 2
0.82173, 0.00025, 20769.30, 491.80, 2
0.82213, 0.00020, 20776.60, 570.40, 2
0.82263, 0.00025, 20597.80, 433.60, 2
0.82313, 0.00025, 20917.80, 598.10, 2
0.82353, 0.00020, 20682.50, 496.80, 2
0.82403, 0.00025, 20287.40, 589.00, 2
0.82453, 0.00025, 21639.60, 516.10, 2
