wavelength xh2o xco xco2 xch4 xnh3 xh2s xph3 xhcn xc2h2 xoh xna xk xso2
2.874979495455970646e+00 -2.310908166753229054e+01 -3.861681433346947045e+01 -2.333854863398874357e+01 -2.583165484442855586e+01 -2.296250852718899083e+01 -2.509323141237589994e+01 -2.375081847427124870e+01 -2.377199064772416293e+01 -2.462506625497407953e+01 -2.462054934886398527e+01 -2.995686833208627675e+01 -2.990712178219581929e+01 -2.612103519134087648e+01
2.874021488293206250e+00 -2.227786192527985065e+01 -3.801645761437478654e+01 -2.341863741922705699e+01 -2.580099310980963878e+01 -2.290031407172645572e+01 -2.485298129095529163e+01 -2.358323715505759210e+01 -2.483930490704818439e+01 -2.446717972691305221e+01 -2.654493959804840841e+01 -2.995683298895239943e+01 -2.990707712666372586e+01 -2.612419752121949301e+01
2.873063800359752840e+00 -2.140957518546035843e+01 -3.778430200608841716e+01 -2.328287818783944729e+01 -2.604345415615844317e+01 -2.307214894052362908e+01 -2.505229602378643250e+01 -2.341578180146089139e+01 -2.422636515198097840e+01 -2.449209504943800653e+01 -2.416190516431254309e+01 -2.995679764525447908e+01 -2.990703246992776698e+01 -2.607286134199441108e+01
2.872106431549236394e+00 -2.231536542358158215e+01 -4.321849775956946615e+01 -2.328564917368077403e+01 -2.578593285269314350e+01 -2.280568501697737105e+01 -2.493502191578966176e+01 -2.357373282810156567e+01 -2.379794624700972960e+01 -2.448830989421852777e+01 -2.351046454224646709e+01 -2.995676230099280701e+01 -2.990698781198825529e+01 -2.609976053160590936e+01
2.871149381755317531e+00 -2.168181900964294684e+01 -3.763964564445361560e+01 -2.325871304806679873e+01 -2.598509782050625105e+01 -2.296199409271647340e+01 -2.530390102784170026e+01 -2.384056208290354206e+01 -2.451619467423389409e+01 -2.460234361324182473e+01 -2.429268349130737903e+01 -2.995672695616767811e+01 -2.990694315284551408e+01 -2.608983100932732668e+01
2.870192650871693729e+00 -2.213255236849673224e+01 -3.777565846335006228e+01 -2.333126227888849158e+01 -2.594572290286345506e+01 -2.313078710257435944e+01 -2.504933336015269418e+01 -2.350240495949740094e+01 -2.383857327043817875e+01 -2.444205580956575830e+01 -2.156317656676643324e+01 -2.995669161077939080e+01 -2.990689849249985599e+01 -2.607696023540299635e+01
2.869236238792095772e+00 -2.185166827218817431e+01 -3.778591994623334216e+01 -2.319132798076980961e+01 -2.614206742012648732e+01 -2.300181803804704117e+01 -2.471592211514571602e+01 -2.342364306824610409e+01 -2.454125378034352067e+01 -2.450044286993867004e+01 -2.156022303518209782e+01 -2.995665626482824351e+01 -2.990685383095160077e+01 -2.607304316972523495e+01
2.868280145410292192e+00 -2.258445234016621228e+01 -3.914123813160880161e+01 -2.330237452419966360e+01 -2.557214687970926548e+01 -2.286456749898759355e+01 -2.504461885339860316e+01 -2.346659701919883290e+01 -2.483550211088799387e+01 -2.442312845036496682e+01 -2.753383608233341917e+01 -2.995662091831453466e+01 -2.990680916820107171e+01 -2.607159042189580944e+01
2.867324370620085272e+00 -2.224351431940916513e+01 -3.772647160026427571e+01 -2.312838528079439371e+01 -2.594652043684612863e+01 -2.297139839515135051e+01 -2.490994418247050746e+01 -2.350114315861640435e+01 -2.385852538948881829e+01 -2.455273034180823899e+01 -2.400859319861822527e+01 -2.995658557123855914e+01 -2.990676450424858146e+01 -2.604290860824331588e+01
2.866368914315313265e+00 -2.257377125994930367e+01 -3.958591094273663202e+01 -2.326875575883017078e+01 -2.603239542852147537e+01 -2.202771615829023943e+01 -2.517062239333189311e+01 -2.365451965571893211e+01 -2.433412910601629520e+01 -2.440091102763490483e+01 -2.616078502608581502e+01 -2.995655022360061892e+01 -2.990671983909445331e+01 -2.602518343496807773e+01
2.865413776389849954e+00 -2.281258017698472074e+01 -3.761948534524643151e+01 -2.314848937369557902e+01 -2.617250367138413480e+01 -2.302986593458539488e+01 -2.474374090875524246e+01 -2.340815953927351956e+01 -2.396609052340966173e+01 -2.447149726794794233e+01 -2.872147733931520008e+01 -2.995651487540100533e+01 -2.990667517273900700e+01 -2.604831060472614723e+01
2.864458956737604201e+00 -2.200570572565847272e+01 -3.804400576718889937e+01 -2.309819160928255144e+01 -2.589576382022958612e+01 -2.200090210744299313e+01 -2.464678071778974910e+01 -2.383091441739825100e+01 -2.432586514384222909e+01 -2.438096040333419268e+01 -2.438256220363354032e+01 -2.995647952664000613e+01 -2.990663050518254451e+01 -2.607156093945664566e+01
2.863504455252519953e+00 -2.256462358349478237e+01 -4.144521311086000992e+01 -2.316881576639317686e+01 -2.570111695186567502e+01 -2.285186626289450373e+01 -2.484584459434689307e+01 -2.374443544374016213e+01 -2.479083941296773475e+01 -2.442945588137446578e+01 -2.901700490006426847e+01 -2.995644417731789844e+01 -2.990658583642535007e+01 -2.602299340367817138e+01
2.862550271828576687e+00 -2.297099310124672300e+01 -3.725995509824846152e+01 -2.301410206920250801e+01 -2.583633311324469162e+01 -2.269601785976573183e+01 -2.505517412222767604e+01 -2.394027485721908377e+01 -2.405243677240333966e+01 -2.430523619371229671e+01 -2.865523821911198610e+01 -2.995640556692859491e+01 -2.990653704640427080e+01 -2.600555355954396930e+01
2.861596406359789846e+00 -2.312430382108247073e+01 -3.759383033781154637e+01 -2.310690266671159776e+01 -2.592775710634021635e+01 -2.266568029080433533e+01 -2.482789283932651259e+01 -2.348658088859358983e+01 -2.425304985236242317e+01 -2.453332952413792256e+01 -2.413503517822170963e+01 -2.995637069576442713e+01 -2.990649298094778530e+01 -2.598043032303477418e+01
2.860642858740209515e+00 -2.250410699891394728e+01 -3.795419114803514304e+01 -2.306884191506650339e+01 -2.580715557510023572e+01 -2.300996021525027047e+01 -2.493937344741274131e+01 -2.341869660952039922e+01 -2.413474409133991472e+01 -2.427362461266130822e+01 -2.437097111628455437e+01 -2.995633514884295678e+01 -2.990644806096738151e+01 -2.599556448154531196e+01
2.859689628863921307e+00 -2.237209427562715902e+01 -3.773036491681787652e+01 -2.305119363170791758e+01 -2.586898231604218878e+01 -2.285135599502849857e+01 -2.482539222353967290e+01 -2.374892611441354262e+01 -2.418382302516507210e+01 -2.440452442524667021e+01 -2.401112114183926138e+01 -2.995629958637276502e+01 -2.990640312084027386e+01 -2.595006846346732488e+01
2.858736716625045915e+00 -2.288933644745687346e+01 -4.088061489650262104e+01 -2.293443910001089492e+01 -2.582024573156386538e+01 -2.279569853379712185e+01 -2.490561556315237368e+01 -2.366532324285419264e+01 -2.429847577086988153e+01 -2.422785619744662711e+01 -2.889815688894845280e+01 -2.995626400834719760e+01 -2.990635816055734253e+01 -2.598775314414354654e+01
2.857784121917740006e+00 -2.192210119365191190e+01 -3.738815835998471471e+01 -2.308471918940720258e+01 -2.524184486654931092e+01 -2.289624398129620175e+01 -2.492556819854324246e+01 -2.347974484302562459e+01 -2.444970449289455061e+01 -2.456440783393661675e+01 -2.613913317948577131e+01 -2.995622841475970688e+01 -2.990631318010964534e+01 -2.597239797059984667e+01
